Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
0.4200000000000002,4.683719279131572,3752229.2356455727,0.02,1.254,0.97,178886.99555316847,3.5000000000000004,182.68275695682297,0.24113912410628746,753.3126764310048,2.6634640891680355,1.7791160658572494,1000,0.07,0.7
0.4300000000000002,4.675646157929835,3751131.9792613224,0.02,1.254,0.97,178834.68401098833,3.5000000000000004,182.43538969871094,0.2433884275326057,753.6342511353802,2.6539815454093643,1.7782761849878654,1000,0.07,0.7
0.4400000000000002,4.667575419665866,3750024.8079193626,0.02,1.254,0.97,178781.89977460846,3.5000000000000004,182.1872491185226,0.2456249012758005,753.9570719363373,2.64451425133464,1.7774362670554258,1000,0.07,0.7
0.45000000000000023,4.659507084933059,3748908.0677980287,0.02,1.254,0.97,178728.65934803183,3.5000000000000004,181.93841712635353,0.24784853961312558,754.2810349586042,2.635062232359455,1.7765963129604792,1000,0.07,0.7
0.46000000000000024,4.6514411736166155,3743098.5684002726,0.02,1.254,0.97,178451.69228987346,3.5000000000000004,181.6889708246496,0.25005934445141786,754.6060422900587,2.625625505587058,1.77575632357814,1000,0.07,0.7
0.47000000000000025,4.64337906464937,3741334.078165195,0.02,1.254,0.97,178367.57046868053,3.5000000000000004,181.43898600627992,0.2522569094789908,754.9319974387745,2.6162058049980272,1.774916350172352,1000,0.07,0.7
0.48000000000000026,4.635319605934528,3740104.2380712996,0.02,1.254,0.97,178308.93801698546,3.5000000000000004,181.18853115684982,0.25444161099630236,755.2588131654063,2.6068016447416076,1.7740763501966188,1000,0.07,0.7
0.49000000000000027,4.627262648199495,3738943.6703796573,0.02,1.254,0.97,178253.60811722302,3.5000000000000004,180.93767026653182,0.25661352178984975,755.5864078430836,2.5974128081517223,1.7732363182579227,1000,0.07,0.7
0.5000000000000002,4.619208184952911,3737786.1150104045,0.02,1.254,0.97,178198.4218295024,3.5000000000000004,180.68646341794238,0.2587726758772755,755.9147047086019,2.588039254819525,1.7723962542561107,1000,0.07,0.7
0.5100000000000002,4.611156229586091,3736622.345069417,0.02,1.254,0.97,178142.93926295752,3.5000000000000004,180.43496704632526,0.2609191058648701,756.2436315392173,2.5786809648923117,1.7715561588289093,1000,0.07,0.7
0.5200000000000002,4.603106797874965,3735451.25393426,0.02,1.254,0.97,178087.10765952108,3.5000000000000004,180.18323414409932,0.263052847888388,756.5731204010546,2.569337917283456,1.7707160327031213,1000,0.07,0.7
0.5300000000000002,4.595059905514308,3734272.879267227,0.02,1.254,0.97,178030.92881473756,3.5000000000000004,179.93131444905103,0.2651739419661596,756.9031074180011,2.5600100869450046,1.769875876603144,1000,0.07,0.7
0.5400000000000003,4.587015567789145,3733087.4112194013,0.02,1.254,0.97,177974.41179403284,3.5000000000000004,179.67925462216016,0.26728243172557153,757.2335325533102,2.550697444824826,1.7690356912387468,1000,0.07,0.7
0.5500000000000003,4.578973799548302,3731895.0522154076,0.02,1.254,0.97,177917.56624797214,3.5000000000000004,179.42709841630582,0.2693783640639329,757.5643394023324,2.5413999581802997,1.7681954773040693,1000,0.07,0.7
0.5600000000000003,4.570934615219739,3730695.9975670134,0.02,1.254,0.97,177860.4014880162,3.5000000000000004,179.17488683637455,0.27146178882179095,757.8954749957077,2.5321175909197855,1.7673552354781625,1000,0.07,0.7
0.5700000000000003,4.56289802883085,3729490.4331630217,0.02,1.254,0.97,177802.92637638733,3.5000000000000004,178.92265829120132,0.27353275847834935,758.2268896125037,2.522850303926775,1.766514966425726,1000,0.07,0.7
0.5800000000000003,4.554864054028592,3728278.535552132,0.02,1.254,0.97,177745.14933001963,3.5000000000000004,178.67044873773094,0.27559132786911134,758.5585366028156,2.5135980553616504,1.7656746707978304,1000,0.07,0.7
0.5900000000000003,4.546832704098753,3727060.4723408762,0.02,1.254,0.97,177687.0783395307,3.5000000000000004,178.41829181777032,0.27763755392455103,758.8903722193832,2.5043608009415856,1.764834349232616,1000,0.07,0.7
0.6000000000000003,4.5388039919843015,3725836.4026200115,0.02,1.254,0.97,177628.72098954982,3.5000000000000004,178.16621898768736,0.27967149542850356,759.2223554577878,2.4951384941998427,1.763994002355955,1000,0.07,0.7
0.6100000000000003,4.530777930302852,3724606.477376089,0.02,1.254,0.97,177570.08447833933,3.5000000000000004,177.91425964139134,0.28169321279502535,759.5544479048226,2.485931086725744,1.763153630782083,1000,0.07,0.7
0.6200000000000003,4.522754531363279,3723370.839886299,0.02,1.254,0.97,177511.1756366189,3.5000000000000004,177.6624412269179,0.2837027678625166,759.8866135946417,2.476738528386561,1.762313235114201,1000,0.07,0.7
0.6300000000000003,4.514733807181514,3722129.62609389,0.02,1.254,0.97,177452.0009454636,3.5000000000000004,177.41078935693108,0.2857002237039783,760.2188188723188,2.4675607675324893,1.7614728159450463,1000,0.07,0.7
0.6400000000000003,4.5067157694955835,3720882.9649673207,0.02,1.254,0.97,177392.56655342638,3.5000000000000004,177.15932791342695,0.28768564445234857,760.551032264456,2.458397751185798,1.7606323738574372,1000,0.07,0.7
0.6500000000000004,4.4987004297798965,3719630.9788426887,0.02,1.254,0.97,177332.8782928633,3.5000000000000004,176.90807914693087,0.28965909513989185,760.8832243565037,2.449249425215214,1.75979190942479,1000,0.07,0.7
0.6600000000000004,4.490687799258829,3718373.783750688,0.02,1.254,0.97,177272.94169552118,3.5000000000000004,176.6570637704506,0.29162064155070544,761.2153676764672,2.4401157344965103,1.7589514232116132,1000,0.07,0.7
0.6700000000000004,4.48267788891965,3717111.489726761,0.02,1.254,0.97,177212.7620073241,3.5000000000000004,176.4063010484399,0.2935703500854494,761.5474365846937,2.4309966230602265,1.7581109157739734,1000,0.07,0.7
0.6800000000000004,4.474670709524789,3715844.2011102345,0.02,1.254,0.97,177152.3442026347,3.5000000000000004,176.1558088810195,0.29550828763744486,761.8794071694421,2.4218920342274006,1.7572703876599431,1000,0.07,0.7
0.6900000000000004,4.466666271623508,3714572.016826217,0.02,1.254,0.97,177091.6929976934,3.5000000000000004,175.9056038836946,0.2974345214793601,762.2112571479497,2.412801910734126,1.7564298394100217,1000,0.07,0.7
0.7000000000000004,4.458664585562982,3713295.0306565696,0.02,1.254,0.97,177030.81286353714,3.5000000000000004,175.65570146277665,0.29934911915974505,762.5429657727396,2.4037261948456963,1.7555892715575403,1000,0.07,0.7
0.7100000000000004,4.450665661498826,3712013.3314977675,0.02,1.254,0.97,176969.7080382927,3.5000000000000004,175.4061158867435,0.30125214840868964,762.8745137428965,2.394664828461094,1.754748684629042,1000,0.07,0.7
0.7200000000000004,4.4426695094050945,3710727.003606517,0.02,1.254,0.97,176908.38253888662,3.5000000000000004,175.15686035371812,0.3031436770519904,763.2058831200777,2.3856177532084564,1.7539080791446473,1000,0.07,0.7
0.7300000000000004,4.434676139083772,3709436.12683452,0.02,1.254,0.97,176846.84017223745,3.5000000000000004,174.90794705527762,0.30502377293315996,763.5370572490231,2.3765849105322143,1.7530674556183974,1000,0.07,0.7
0.7400000000000004,4.426685560173787,3708140.7768511665,0.02,1.254,0.97,176785.08454587255,3.5000000000000004,174.6593872367697,0.30689250384274436,763.8680206823366,2.367566241772459,1.752226814558584,1000,0.07,0.7
